511150.1820	6962104.1050	2.1820
511153.7596	6962107.9045	2.1760
511154.6962	6962110.4754	1.7120
511154.3364	6962112.7585	1.3930
511154.6412	6962110.4105	2.6060
511153.1438	6962112.6766	2.6070
511154.0395	6962112.6086	2.6900
511150.7638	6962115.3655	2.3880
511150.7768	6962116.6520	2.7160
511152.5231	6962115.0316	1.7810
511155.4269	6962114.3599	1.8410
511155.0961	6962115.4714	1.8710
511151.8434	6962116.6590	1.8890
511154.4064	6962116.0642	1.7460
511154.5543	6962116.7879	1.7490
511154.0685	6962117.7905	1.6740
511155.4439	6962117.6926	1.7510
511153.7496	6962114.0610	2.2830
511151.3236	6962118.5093	1.1870
511151.3386	6962121.1722	1.6990
511150.7558	6962119.7158	3.0160
511150.8778	6962121.3521	3.8510
511154.1255	6962118.3483	1.6600
511154.1715	6962119.4929	1.5860
511152.4312	6962121.4941	1.2530
511154.5463	6962121.2701	1.3990
511152.1533	6962120.8233	2.6120
511150.4459	6962122.3887	1.3140
511150.4629	6962122.3997	2.0250
511148.6167	6962125.9023	2.9230
511149.8772	6962125.4155	3.3850
511154.8072	6962122.0738	1.3040
511151.6975	6962125.3735	1.0590
511153.9226	6962125.8963	1.7000
511151.7214	6962123.5622	3.4510
511155.3250	6962124.6588	2.7360
511150.9957	6962121.3461	4.1420
511151.8094	6962121.4161	4.4330
511148.5707	6962125.6604	5.4840
511155.2470	6962123.8291	5.4940
511154.8572	6962124.2909	4.7610
511154.5363	6962124.6508	5.2100
511138.9126	6962132.1958	4.5530
511139.2134	6962134.5929	5.1100
511146.5735	6962127.4137	3.6830
511145.6279	6962132.8406	1.2290
511146.3196	6962132.2048	3.0800
511147.8560	6962127.9695	1.1250
511149.5453	6962129.7278	1.1270
511150.9408	6962127.0019	2.3210
511147.9290	6962128.8312	3.8740
511154.0885	6962126.7920	1.0390
511148.4098	6962131.3232	1.0700
511147.6661	6962131.3821	2.1330
511149.0555	6962126.7590	4.3240
511151.2826	6962128.0814	5.6150
511152.8830	6962126.5530	5.2390
511151.7724	6962128.1534	4.4740
511153.3378	6962127.5477	6.1180
511148.9696	6962131.3841	4.4960
511153.0189	6962130.3765	4.5800
511152.2253	6962131.5851	6.2670
511141.1697	6962135.9853	2.7960
511144.2484	6962136.5791	1.1200
511141.4066	6962140.3606	2.5210
511146.2676	6962137.9046	6.3610
511149.9232	6962137.6506	1.0940
511150.9538	6962136.4281	4.7450
511152.7831	6962136.0063	6.4600
511152.3272	6962141.5901	4.8340
511078.4098	6962188.6246	3.6220
511090.3170	6962185.0970	3.2030
511086.2137	6962188.9904	3.6120
511087.8860	6962189.5582	2.5800
511086.3116	6962182.0522	7.4040
511090.0181	6962187.9348	5.6630
511090.3610	6962175.4028	9.7060
511075.8768	6962189.4463	15.8370
511084.5973	6962189.4043	9.6300
511091.3736	6962189.0444	8.9130
511083.8616	6962186.8203	12.6580
511090.5099	6962189.7831	12.9280
511074.0505	6962198.4107	7.0730
511066.5585	6962205.9237	9.2960
511072.8310	6962199.8791	11.1250
511068.2118	6962202.9119	13.5760
511083.1539	6962192.3731	2.2110
511082.9260	6962197.7299	2.0920
511083.0279	6962194.2053	5.8440
511081.9994	6962197.9059	7.3950
511085.1911	6962192.7909	2.1270
511091.2577	6962191.0696	1.8420
511091.0188	6962193.3497	1.8330
511090.6789	6962191.0576	2.4040
511090.7489	6962192.9578	2.2990
511090.5619	6962193.4956	3.7850
511086.1437	6962194.1674	3.5750
511086.1527	6962197.6860	2.0140
511090.9258	6962194.1004	1.8520
511091.2527	6962197.3901	1.9580
511089.9382	6962194.9650	2.0880
511087.9070	6962197.4301	2.1340
511083.5697	6962192.8119	5.7940
511087.3482	6962193.1548	6.0890
511090.0341	6962191.7543	4.5630
511087.5861	6962192.3511	5.0860
511090.5759	6962192.7289	4.1110
511087.9210	6962191.3095	6.4980
511086.5485	6962194.4652	4.7060
511084.8372	6962197.4930	5.1580
511086.4616	6962197.5240	5.2810
511083.6857	6962196.2815	7.1550
511085.7249	6962197.3231	7.8530
511087.9040	6962195.1080	5.6290
511088.9536	6962196.8353	4.2890
511088.5817	6962197.9678	5.9630
511089.0176	6962195.5148	6.5200
511088.3328	6962197.0742	7.1990
511080.4380	6962199.1034	1.6970
511081.5455	6962200.4719	1.6540
511082.4382	6962201.6754	1.5270
511082.9460	6962199.6192	2.4420
511081.1157	6962201.6764	3.6200
511082.4542	6962200.5538	3.7530
511083.1619	6962201.7853	3.8030
511080.4530	6962202.8309	1.4840
511081.3546	6962203.0958	1.4620
511082.4122	6962202.2851	1.5110
511083.3168	6962202.7709	1.4780
511081.5845	6962203.7436	1.4570
511083.2139	6962203.0378	1.4730
511079.6593	6962205.0550	1.6710
511082.6421	6962204.2634	1.4070
511082.4442	6962205.6148	1.3600
511082.8280	6962205.0660	1.9410
511081.8154	6962202.1342	2.9070
511081.7865	6962203.6916	3.1550
511082.2513	6962204.2414	2.1430
511082.9710	6962204.3693	2.9070
511083.1689	6962205.6728	2.7280
511082.4592	6962204.8091	3.7900
511083.0380	6962204.8071	3.5390
511078.9436	6962200.1260	5.2300
511082.5491	6962199.6852	4.8830
511080.9028	6962200.5208	5.9450
511081.9554	6962201.6014	4.6850
511082.9660	6962201.8883	5.3270
511083.0739	6962199.6022	6.3040
511082.0633	6962200.0640	6.5180
511082.1823	6962201.3915	7.8180
511077.8960	6962205.3769	4.6910
511082.5481	6962202.5510	5.3740
511086.9814	6962199.3913	1.6640
511084.8312	6962201.1726	1.5820
511087.4042	6962200.5928	1.5740
