453528.588135,7019713.997803,116.743896,1
453528.518799,7019713.952881,114.450928,1G
453940.693115,7017206.792725,113.164795,2
453940.690186,7017206.923584,113.104248,2G
453946.325439,7017172.3479,112.85376,3G
453947.617432,7017172.905518,115.395752,3
454501.929932,7020178.099854,115.295166,4G
454502.10083,7020178.376221,115.332764,4
454517.143311,7020196.640381,114.263428,5G
454517.094482,7020196.829346,114.377197,5
454532.3396,7020211.831299,113.253174,7
454532.337646,7020211.644287,113.216064,7G
454522.696533,7019937.083252,114.967529,6G
454523.047119,7019936.64624,115.006104,6
454526.951904,7019950.913818,115.065674,8
454526.796631,7019951.106201,115.025635,8G
454534.928955,7019981.12085,115.385498,9
454534.717529,7019980.9104,115.326416,9G
454541.840576,7019919.154053,114.647217,10
454541.589111,7019916.897217,114.456787,10G
454538.579834,7019995.672119,115.793213,11
454535.79126,7019996.487061,115.681396,11G
454541.132568,7020163.374268,115.893311,12
454537.781982,7020161.561768,115.792236,12G
454545.314209,7020012.980713,116.168701,13G
454545.517334,7020012.550049,116.212646,13
454558.688232,7020032.621826,116.115967,15G
454559.334229,7020032.668701,116.155518,15
454562.951904,7019911.000244,114.453857,14
454562.205322,7019908.886475,114.259521,14G
454584.684326,7020197.411865,113.406494,16G
454584.226807,7020195.205322,113.513428,16
454596.553467,7020182.523682,116.291748,1113
454599.634521,7020186.441162,113.659424,1113G
454600.228271,7019953.425537,112.342529,19
454599.830322,7019954.864502,112.19751,19G
454594.394775,7019968.387451,112.706787,17
454595.133057,7019969.1521,112.615479,17G
454601.048584,7019990.12085,112.926514,18
454604.089111,7019990.634033,112.760986,18G
454598.924072,7020047.419678,116.381104,20
454599.141357,7020048.828857,115.738525,20G
454611.806885,7020173.105225,114.095947,23
454603.282959,7020153.685303,114.198486,21
454603.630127,7020153.558838,114.163818,21G
454612.153564,7020173.812744,113.998779,23G
454600.090576,7019904.702393,113.566162,22
454600.1604,7019904.587158,113.55542,22G
454615.022705,7020034.942139,114.891357,24G
454614.170654,7020033.62085,115.272217,24
454618.967041,7019990.088135,112.239502,25
454619.414307,7019989.236084,112.158447,25G
454622.188232,7019944.415283,111.97876,26
454621.963135,7019944.647705,111.962646,26G
454626.360107,7020250.710205,109.503174,29
454626.092529,7020250.855225,109.475342,29G
454614.550537,7020224.734619,110.755127,27
454613.130127,7020222.906494,110.605713,27G
454628.386475,7020152.030518,114.300049,28
454628.795166,7020152.131592,114.2771,28G
454639.515869,7020147.835205,114.767334,30
454639.352295,7020148.439697,114.743408,30G
454632.977783,7020212.988037,110.748779,31
454631.588623,7020211.196533,110.599854,31G
