511150.1821	6962104.1056	2.1820
511153.7597	6962107.9051	2.1760
511154.6963	6962110.4760	1.7120
511154.3365	6962112.7591	1.3930
511154.6413	6962110.4111	2.6060
511153.1439	6962112.6771	2.6070
511154.0396	6962112.6092	2.6900
511150.7639	6962115.3661	2.3880
511150.7769	6962116.6526	2.7160
511152.5232	6962115.0322	1.7810
511155.4270	6962114.3605	1.8410
511155.0961	6962115.4720	1.8710
511151.8434	6962116.6596	1.8890
511154.4064	6962116.0648	1.7460
511154.5544	6962116.7885	1.7490
511154.0686	6962117.7911	1.6740
511155.4440	6962117.6931	1.7510
511153.7497	6962114.0616	2.2830
511151.3237	6962118.5098	1.1870
511151.3386	6962121.1727	1.6990
511150.7559	6962119.7163	3.0160
511150.8778	6962121.3527	3.8510
511154.1255	6962118.3489	1.6600
511154.1715	6962119.4934	1.5860
511152.4312	6962121.4946	1.2530
511154.5464	6962121.2707	1.3990
511152.1533	6962120.8239	2.6120
511150.4460	6962122.3893	1.3140
511150.4630	6962122.4003	2.0250
511148.6167	6962125.9029	2.9230
511149.8772	6962125.4160	3.3850
511154.8073	6962122.0744	1.3040
511151.6975	6962125.3741	1.0590
511153.9226	6962125.8969	1.7000
511151.7215	6962123.5628	3.4510
511155.3251	6962124.6594	2.7360
511150.9958	6962121.3467	4.1420
511151.8095	6962121.4166	4.4330
511148.5708	6962125.6610	5.4840
511155.2471	6962123.8297	5.4940
511154.8572	6962124.2915	4.7610
511154.5364	6962124.6514	5.2100
511138.9126	6962132.1963	4.5530
511139.2135	6962134.5934	5.1100
511146.5736	6962127.4142	3.6830
511145.6279	6962132.8411	1.2290
511146.3196	6962132.2053	3.0800
511147.8560	6962127.9700	1.1250
511149.5454	6962129.7283	1.1270
511150.9408	6962127.0024	2.3210
511147.9290	6962128.8317	3.8740
511154.0885	6962126.7925	1.0390
511148.4098	6962131.3237	1.0700
511147.6661	6962131.3827	2.1330
511149.0556	6962126.7595	4.3240
511151.2827	6962128.0820	5.6150
511152.8830	6962126.5536	5.2390
511151.7725	6962128.1540	4.4740
